Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"Phenotyping population transcriptomes",2020,"Science","370","6523",,"1429","1430",,,"10.1126/SCIENCE.370.6523.1429-B","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107132304&doi=10.1126%2fSCIENCE.370.6523.1429-B&partnerID=40&md5=80d20e0e6061048a107636b2ec5219e5",,"",[No abstract available],,"Wnt protein; CRELD1 gene; gene; gene expression; gene function; genetic variability; heart development; human; immunocompetent cell; immunogenomics; nonhuman; Note; phenotype; population genetics; priority journal; RNA analysis; T lymphocyte; Wnt signaling",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107132304
[No author name available],[No author id available],"Splicing machine shifts into gear",2020,"Science","370","6523",,"1430B","",,,"10.1126/SCIENCE.370.6523.1428-M","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107121976&doi=10.1126%2fSCIENCE.370.6523.1428-M&partnerID=40&md5=1a14d79ed0ee264f6d3697c722f0300d",,"",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107121976
[No author name available],[No author id available],"A high-quality rhesus macaque genome",2020,"Science","370","6523",,"1430B","",,,"10.1126/SCIENCE.370.6523.1428-J","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107114057&doi=10.1126%2fSCIENCE.370.6523.1428-J&partnerID=40&md5=9003f463510ca1722ebf16bee41f5128",,"",[No abstract available],,"animal genetics; gene mapping; gene sequence; gene structure; gene technology; genetic identification; genetic variability; nonhuman; Note; population genomics; primate; priority journal; rhesus monkey; Macaca mulatta",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107114057
[No author name available],[No author id available],"SURF4 lipid carrier proteins",2020,"Science","370","6523",,"1430","",,,"10.1126/SCIENCE.370.6523.1429-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107113892&doi=10.1126%2fSCIENCE.370.6523.1429-C&partnerID=40&md5=7b145da7a67839285520f3feb0ab301e",,"",[No abstract available],,"cell protein; protein SAR1B; protein SURF4; unclassified drug; atherosclerosis; cell membrane; chylomicron retention disease; dyslipidemia; genetic disorder; human; lipid homeostasis; liver cell; Note; priority journal; protein function; protein secretion; protein targeting",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107113892
[No author name available],[No author id available],"Mountain ecology under climate change",2020,"Science","370","6523",,"1429","",,,"10.1126/SCIENCE.370.6523.1428-H","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107110815&doi=10.1126%2fSCIENCE.370.6523.1428-H&partnerID=40&md5=bbd32a461e448df023e5b79929829201",,"",[No abstract available],,"alpine plant; altitude; biodiversity; climate change; climate warming; environmental parameters; mountain ecology; nonhuman; Note; plant community; plant herbivore interaction; plant parameters; priority journal; species composition; three-dimensional imaging; vegetation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107110815
[No author name available],[No author id available],"Gravitational redshift of the Sun",2020,"Science","370","6523",,"1430","",,,"10.1126/SCIENCE.370.6523.1429-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107110789&doi=10.1126%2fSCIENCE.370.6523.1429-G&partnerID=40&md5=358236820b27997eb2dda4107629482a",,"",[No abstract available],,"calibration; gravity; moon; Note; prediction; priority journal; sun; sunlight; surface area",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107110789
"Cornwall W.","56612398600;","Five years in, Paris pact still a work in progress",2020,"Science","370","6523",,"1390","",,2,"10.1126/science.370.6523.1390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098676913&doi=10.1126%2fscience.370.6523.1390&partnerID=40&md5=48bc0269f4979131c1e8fc693d5fdefa",,"Cornwall, W.",[No abstract available],,"carbon footprint; climate change; deforestation; economic development; environmental economics; environmental impact; environmental policy; environmental temperature; France; global climate; greenhouse effect; human; Note; priority journal; renewable energy; solar energy",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"33335043","English","Sci.",Note,"Final","",Scopus,2-s2.0-85098676913
"Service R.F., Kaiser J., Voosen P., Clery D., Price M., Langin K., Cohen J., Service R.F., Pennisi E.","7102138642;57217826902;26032446800;7004604600;57194618729;57201994606;57203682506;7102138642;57208646281;","Runners-up",2020,"Science","370","6523",,"1401","",,,"10.1126/science.370.6523.1402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098676629&doi=10.1126%2fscience.370.6523.1402&partnerID=40&md5=63b418a6693e757738542c11c2c5b6a8",,"Service, R.F.; Kaiser, J.; Voosen, P.; Clery, D.; Price, M.; Langin, K.; Cohen, J.; Service, R.F.; Pennisi, E.",[No abstract available],,"amino acid; new drug; amino acid sequence; artificial intelligence; cryoelectron microscopy; human; Note; priority journal; protein folding; protein structure; rating scale; scoring system; United Kingdom; X ray crystallography; Elagatis",,"amino acid, 65072-01-7",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"33335048","English","Sci.",Note,"Final","",Scopus,2-s2.0-85098676629
"Bouveret R.","8640280100;","A bearer of good news",2020,"Science","370","6523",,"1522","",,1,"10.1126/science.370.6523.1522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098676244&doi=10.1126%2fscience.370.6523.1522&partnerID=40&md5=5c28f429849a0626b5269ee8df126803","University of New South Wale, United Kingdom","Bouveret, R., University of New South Wale, United Kingdom",[No abstract available],,"rain; attitude to life; Australia; coping behavior; drought; e-mail; human; information processing; life event; Note; optimism; pandemic; priority journal; publication; wildfire",,,,,,,,,,,,,,,,,"Bouveret, R.; University of New South WaleUnited Kingdom",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"33335063","English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85098676244
"Langin K.","57201994606;","LGBTQ researchers say they want to be counted",2020,"Science","370","6523",,"1391","",,1,"10.1126/science.370.6523.1391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098675268&doi=10.1126%2fscience.370.6523.1391&partnerID=40&md5=34561b46703037f8d2a7746b7f70350e",,"Langin, K.",[No abstract available],,"coronavirus disease 2019; government; health education; human; LGBTQIA+ people; Note; population research; priority journal; sexual and gender minority; sexual orientation; personnel; sexual and gender minority; Humans; Research Personnel; Sexual and Gender Minorities",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"33335044","English","Sci.",Note,"Final","",Scopus,2-s2.0-85098675268
"Jesse Smith H.","57207953169;","Controlling atmospheric carbon dioxide",2020,"Science","370","6522",,"1288B","",,,"10.1126/SCIENCE.370.6522.1286-M","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098795253&doi=10.1126%2fSCIENCE.370.6522.1286-M&partnerID=40&md5=b9929910ba49502fd79223f29c767b2c",,"Jesse Smith, H.",[No abstract available],,"carbon dioxide; carbon cycle; climate change; controlled atmosphere; glaciation; Note; priority journal; Southern Ocean",,"carbon dioxide, 124-38-9, 58561-67-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098795253
"Grocholski B.","35362140600;","A smarter radiative cooler",2020,"Science","370","6522",,"1287","",,,"10.1126/SCIENCE.370.6522.1287-A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098793742&doi=10.1126%2fSCIENCE.370.6522.1287-A&partnerID=40&md5=9a69f34282a0763f319ea89068a15149",,"Grocholski, B.",[No abstract available],,"atmosphere; building; coating (procedure); cooling; engineering; Note; priority journal; radiation; weathering",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098793742
"Yeagle P.","57221306538;","Subcellular map of vesicle maturation",2020,"Science","370","6522",,"1287","",,,"10.1126/SCIENCE.370.6522.1286-F","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098793614&doi=10.1126%2fSCIENCE.370.6522.1286-F&partnerID=40&md5=f7ab4253894577eb773bf01a9e8f5b0e",,"Yeagle, P.",[No abstract available],,"glucose; insulin; cell density; cell maturation; cell migration; cell size; cell surface; cell vacuole; cellular distribution; electron tomography; insulin release; microscopy; Note; pancreas islet beta cell; priority journal; tomography; whole cell imaging; x ray tomography",,"glucose, 50-99-7, 84778-64-3; insulin, 9004-10-8",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098793614
"Ash C.","7006283833;","Wheeling out HIV elimination",2020,"Science","370","6522",,"1288","",,,"10.1126/SCIENCE.370.6522.1287-F","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098789968&doi=10.1126%2fSCIENCE.370.6522.1287-F&partnerID=40&md5=1f1e611d36c9d6bd3da5ff3bd91c9f85",,"Ash, C.",[No abstract available],,"ambulance; disease elimination; health care access; human; Human immunodeficiency virus; Human immunodeficiency virus infection; landscape; Malawi; nonhuman; Note; prevalence; priority journal; rural area; travel",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098789968
"Sugden A.M.","6701749750;","Health care and conservation",2020,"Science","370","6522",,"1288","",,,"10.1126/SCIENCE.370.6522.1287-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098784562&doi=10.1126%2fSCIENCE.370.6522.1287-C&partnerID=40&md5=6bff87305c5dfc537e3781b74e85badd",,"Sugden, A.M.",[No abstract available],,"environmental protection; global climate; health care; health care access; incidence; logging; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098784562
"Zahn L.M.","57201563027;","Diversity does not drive speciation",2020,"Science","370","6522",,"1288B","",,,"10.1126/SCIENCE.370.6522.1286-N","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098781641&doi=10.1126%2fSCIENCE.370.6522.1286-N&partnerID=40&md5=ae94809ab2f5f097a563d42355dfdfb9",,"Zahn, L.M.",[No abstract available],,"evolution; nonhuman; Note; priority journal; species differentiation; species diversity; tropics",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098781641
"Hurtley S.M.","56503377300;","CiBER-seq dissects genetic networks",2020,"Science","370","6522",,"1288","",,,"10.1126/SCIENCE.370.6522.1286-T","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098781498&doi=10.1126%2fSCIENCE.370.6522.1286-T&partnerID=40&md5=0a33437a0987c613217f6fd576303bc1",,"Hurtley, S.M.",[No abstract available],,"budding yeast; CiBER seq; gene expression regulation; gene regulatory network; nonhuman; Note; nutrient availability; priority journal; protein synthesis; sequence analysis; signal transduction",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098781498
"Szuromi P.","57196471264;","Efficiency from hole-selective contacts",2020,"Science","370","6522",,"1286","",,,"10.1126/SCIENCE.370.6522.1286-B","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098781357&doi=10.1126%2fSCIENCE.370.6522.1286-B&partnerID=40&md5=c7addd1014c925cb55aeb17ea1fe2d94",,"Szuromi, P.",[No abstract available],,"perovskite; silicon; charge carrier transport; encapsulation; Note; priority journal; transport at the cellular level",,"perovskite, 12194-71-7, 61027-03-0; silicon, 7440-21-3",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098781357
"Purnell B.A.","6603532919;","Timing and trigger of cell polarization",2020,"Science","370","6522",,"1288C","",,,"10.1126/SCIENCE.370.6522.1286-V","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098778447&doi=10.1126%2fSCIENCE.370.6522.1286-V&partnerID=40&md5=ce00381af5038714a11659df6722d073",,"Purnell, B.A.",[No abstract available],,"cell fate; cell polarity; cell specificity; developmental stage; inner cell mass; morphogenesis; nonhuman; Note; priority journal; trophectoderm; yolk sac",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098778447
"Purnell B.A.","6603532919;","Trunk formation in a dish",2020,"Science","370","6522",,"1288C","",,,"10.1126/SCIENCE.370.6522.1286-U","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098776894&doi=10.1126%2fSCIENCE.370.6522.1286-U&partnerID=40&md5=fae335d93a0c23b17aee55ab7c492479",,"Purnell, B.A.",[No abstract available],,"embryo development; embryonic stem cell; extracellular matrix; intestine; neural tube; nonhuman; Note; priority journal; somite; transcriptomics",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098776894
"Vignieri S.","6508070245;","Emergence to endemism",2020,"Science","370","6522",,"1288B","",,,"10.1126/SCIENCE.370.6522.1286-I","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098775521&doi=10.1126%2fSCIENCE.370.6522.1286-I&partnerID=40&md5=84683f6c30a9aa6146e437f2bf456c40",,"Vignieri, S.",[No abstract available],,"cancer growth; devil facial tumor disease; endangered species; endemic disease; epidemiological data; epidemiological phylodynamic approach; history; metastasis; nonhuman; Note; population density; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098775521
"Sugden A.M.","6701749750;","A decline in the carbon fertilization effect",2020,"Science","370","6522",,"1286","1287",,,"10.1126/SCIENCE.370.6522.1286-E","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098772615&doi=10.1126%2fSCIENCE.370.6522.1286-E&partnerID=40&md5=c3deb792fe58395b846638511c820a73",,"Sugden, A.M.",[No abstract available],,"nitrogen; phosphorus; carbon cycling; carbon fertilization effect; climate change; climate warming; environmental aspects and related phenomena; Note; photosynthesis; plant nutrient; priority journal; vegetation",,"nitrogen, 7727-37-9; phosphorus, 7723-14-0",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098772615
"Stajic J.","57189019027;","Molecular qubits that respond to light",2020,"Science","370","6522",,"1287","",,,"10.1126/SCIENCE.370.6522.1286-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098772091&doi=10.1126%2fSCIENCE.370.6522.1286-G&partnerID=40&md5=a0d7ca57b9eec56d639a27a8bb5f5668",,"Stajic, J.",[No abstract available],,"chromium; diamond; quantum dot; information processing; Note; priority journal; solid state",,"chromium, 16065-83-1, 7440-47-3, 14092-98-9; diamond, 7782-40-3",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098772091
"Lavine M.S.","57204519657;","Rheology of aging protein condensates",2020,"Science","370","6522",,"1288","",,,"10.1126/SCIENCE.370.6522.1286-K","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098766226&doi=10.1126%2fSCIENCE.370.6522.1286-K&partnerID=40&md5=f3baa6a4fc12fbca08688a5f2922d39a",,"Lavine, M.S.",[No abstract available],,"flow kinetics; Note; phase separation; priority journal; viscoelasticity; viscosity; Young modulus",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098766226
"Wible B.","7003574310;","Who is getting mammograms?",2020,"Science","370","6522",,"1288","",,,"10.1126/SCIENCE.370.6522.1287-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098765753&doi=10.1126%2fSCIENCE.370.6522.1287-G&partnerID=40&md5=4da996feeaff12964f579a2925b7cf11",,"Wible, B.",[No abstract available],,"age distribution; breast cancer; cancer diagnosis; cancer screening; human; mammography; Note; population research; priority journal; women's health",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098765753
"Malo C.","57221308595;","Influencing influenza immunity",2020,"Science","370","6522",,"1288C","",,,"10.1126/SCIENCE.370.6522.1286-Q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098764140&doi=10.1126%2fSCIENCE.370.6522.1286-Q&partnerID=40&md5=be6b2807eb641c21d0bbab7073646e7e",,"Malo, C.",[No abstract available],,"epitope; neutralizing antibody; human; immunological memory; influenza; influenza vaccination; Influenza virus; nonhuman; Note; priority journal; virus strain",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098764140
"Ash C.","7006283833;","Taxing mental health",2020,"Science","370","6522",,"","",,,"10.1126/SCIENCE.370.6522.1286-S","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098761560&doi=10.1126%2fSCIENCE.370.6522.1286-S&partnerID=40&md5=3c87d971324ced4cf87595a6cf108f36",,"Ash, C.",[No abstract available],,"financial management; health care cost; human; mental disease; mental health care; Note; poverty; priority journal; tax",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098761560
"Jesse Smith H.","57207953169;","Season of the drought",2020,"Science","370","6522",,"1286","",,,"10.1126/SCIENCE.370.6522.1286-A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098759986&doi=10.1126%2fSCIENCE.370.6522.1286-A&partnerID=40&md5=b2013c5e87ea7adce089fcfe32026b4a",,"Jesse Smith, H.",[No abstract available],,"rain; Atlantic Ocean; cost; drought; ecology; economics; human; monsoon climate; Note; prediction; priority journal; quantitative analysis; season; water supply",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098759986
"Suleymanov Y.","56891468600;","Electric field shielding of ultracold molecules",2020,"Science","370","6522",,"1287","",,,"10.1126/SCIENCE.370.6522.1286-H","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098755547&doi=10.1126%2fSCIENCE.370.6522.1286-H&partnerID=40&md5=c150f038266a310a280ac457336c74a7",,"Suleymanov, Y.",[No abstract available],,"potassium; rubidium; chemical interaction; cold; electric field; electric field shielding; gas; geometry; molecule; Note; priority journal; quantum chemistry",,"potassium, 7440-09-7; rubidium, 7440-17-7",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098755547
"Kelly P.N.","57196176293;","Stem-like T cells mediate response",2020,"Science","370","6522",,"1286","",,,"10.1126/SCIENCE.370.6522.1286-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098754634&doi=10.1126%2fSCIENCE.370.6522.1286-C&partnerID=40&md5=bca731e1d17b6340008e29ce20982523",,"Kelly, P.N.",[No abstract available],,"cancer immunotherapy; cancer patient; CD8+ T lymphocyte; cell transfer; human; metastatic melanoma; Note; priority journal; stem cell; T lymphocyte; tumor cell",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85098754634
