Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"PULMONARY FIBROSIS: The strange case of IL-11",2019,"Science","365","6460",,"1416C","",,,"10.1126/science.365.6460.1414-s","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085234534&doi=10.1126%2fscience.365.6460.1414-s&partnerID=40&md5=0fda67ea5ee4396d9fd10a6b8d692586",,"",[No abstract available],,"interleukin 11; cell activation; disease association; fibroblast; fibrosing alveolitis; in vitro study; in vivo study; nonhuman; Note; pathophysiology; priority journal; protein targeting; upregulation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85085234534
[No author name available],[No author id available],"SEX DETERMINATION: Making males in a fruit fly pest",2019,"Science","365","6460",,"1416B","1416C",,,"10.1126/science.365.6460.1414-p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084937044&doi=10.1126%2fscience.365.6460.1414-p&partnerID=40&md5=8f1d3ac5ed4c37975bea097702a1e300",,"",[No abstract available],,"Bactrocera oleae; gene identification; genetic conservation; genetic manipulation; genetic regulation; Mediterranean fruit fly; nonhuman; Note; pest insect; priority journal; progeny; sex determination; Y chromosome",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084937044
[No author name available],[No author id available],"THERMOELECTRICS: Lower-cost thermoelectrics",2019,"Science","365","6460",,"1414","",,,"10.1126/science.365.6460.1414-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084517355&doi=10.1126%2fscience.365.6460.1414-a&partnerID=40&md5=805c1d5569715d9d01f3e3cf2f1cfa1f",,"",[No abstract available],,"selenium; sulfide; sulfur; tin; cooling; electricity; Note; priority journal; process optimization; thermoelectrics",,"selenium, 7782-49-2; sulfide, 18496-25-8; sulfur, 13981-57-2, 7704-34-9; tin, 14314-35-3, 7440-31-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084517355
[No author name available],[No author id available],"EARTH OBSERVATION: Another point of view",2019,"Science","365","6460",,"1416","",,,"10.1126/science.365.6460.1415-e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084512786&doi=10.1126%2fscience.365.6460.1415-e&partnerID=40&md5=c185415d5b2db52793c9258ed354b20a",,"",[No abstract available],,"astronomy; atmosphere; climate; energy balance; Note; priority journal; solar energy",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084512786
[No author name available],[No author id available],"Liquid crystals: Knot all that it seems",2019,"Science","365","6460",,"1414","",,,"10.1126/science.365.6460.1414-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084512364&doi=10.1126%2fscience.365.6460.1414-c&partnerID=40&md5=dbb2d8f36ded40e1a0a9919d940cd6f0",,"",[No abstract available],,"DNA; polymer; protein; chemical structure; liquid; liquid crystal; Note; optics; priority journal",,"DNA, 9007-49-2; protein, 67254-75-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084512364
[No author name available],[No author id available],"PARTICLE PHYSICS: Looking for an exotic decay",2019,"Science","365","6460",,"1414","",,,"10.1126/science.365.6460.1414-d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084505521&doi=10.1126%2fscience.365.6460.1414-d&partnerID=40&md5=97aaad59016469d43b9aeaf482d20e34",,"",[No abstract available],,"germanium; isotope; proton; chemical reaction; electron; half life time; Majorana fermions; marjoram; neutrino; neutrinoless double beta decay; nonhuman; Note; particle physics; physics; priority journal",,"germanium, 7440-56-4; proton, 12408-02-5, 12586-59-3",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084505521
[No author name available],[No author id available],"AGING: Stand up for longevity",2019,"Science","365","6460",,"1416","",,,"10.1126/science.365.6460.1415-g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084495110&doi=10.1126%2fscience.365.6460.1415-g&partnerID=40&md5=f18bf9941c150f5e5e1f0f11612507af",,"",[No abstract available],,"aging; follow up; human; longevity; mortality risk; Note; physical activity; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084495110
[No author name available],[No author id available],"Synthetic biology: Sounding out mammalian cells",2019,"Science","365","6460",,"1415","",,,"10.1126/science.365.6460.1415-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084492066&doi=10.1126%2fscience.365.6460.1415-a&partnerID=40&md5=3ea85fb2b3738a9a0b93b7aacad54f6e",,"",[No abstract available],,"gene expression; mammal cell; molecular imaging; nonhuman; Note; priority journal; protein structure; synthetic biology; ultrasound; Mammalia",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084492066
[No author name available],[No author id available],"VACCINES: Hinting at a herpes vaccine",2019,"Science","365","6460",,"1415","",,,"10.1126/science.365.6460.1414-g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084478703&doi=10.1126%2fscience.365.6460.1414-g&partnerID=40&md5=dbe36eef4bed6d592d6d36dfdf48e831",,"",[No abstract available],,"herpes vaccine; messenger RNA; nanoparticle; neutralizing antibody; protein C; CD4+ T lymphocyte; genital herpes; guinea pig; nonhuman; Note; prevalence; priority journal; sexually transmitted disease; virus shedding",,"protein C, 60202-16-6",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084478703
[No author name available],[No author id available],"PLANT ECOLOGY: Habitat connectivity enhances diversity",2019,"Science","365","6460",,"1415","",,,"10.1126/science.365.6460.1414-e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084476347&doi=10.1126%2fscience.365.6460.1414-e&partnerID=40&md5=bbedd63399482f2f4fb29b943a13981d",,"",[No abstract available],,"biodiversity; ecology; ecosystem; environmental impact; environmental protection; forest fragmentation; habitat connectivity; nonhuman; Note; patch colonization; plant extinction; priority journal; quantitative analysis; species extinction",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084476347
[No author name available],[No author id available],"PLANT BREEDING: Hybrid decay mystery",2019,"Science","365","6460",,"1415","",,,"10.1126/science.365.6460.1414-h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084461650&doi=10.1126%2fscience.365.6460.1414-h&partnerID=40&md5=d2592dfa1a7c3973828de2903fa1c6e8",,"",[No abstract available],,"plant DNA; plant RNA; repetitive DNA; backcrossing; crop production; gene dosage; gene expression; gene silencing; genetic analysis; genetic background; hybrid decay; maize; methylation; molecular genetic phenomena and functions; nonhuman; Note; plant breeding; plant gene; plant genetics; priority journal; teosinte gene; transposon; vegetative propagation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084461650
[No author name available],[No author id available],"CANCER THERAPY: Refining precision medicine",2019,"Science","365","6460",,"1414","",,,"10.1126/science.365.6460.1414-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084449883&doi=10.1126%2fscience.365.6460.1414-b&partnerID=40&md5=932f65bd2444c5ce7ef269a3d779a2f1",,"",[No abstract available],,"epidermal growth factor receptor; neurofibromin; cancer therapy; colorectal cancer; gene; KRAS gene; mutation; Note; personalized medicine; priority journal; tumor growth",,"epidermal growth factor receptor, 79079-06-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084449883
[No author name available],[No author id available],"CLIMATE CHANGE: Temporary richness",2019,"Science","365","6460",,"1416","",,,"10.1126/science.365.6460.1415-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084444370&doi=10.1126%2fscience.365.6460.1415-b&partnerID=40&md5=27d5ed62f334cd6ea8b898e28f2fe956",,"",[No abstract available],,"climate change; ecosystem resilience; food security; latitude; nonhuman; Note; plant; priority journal; species diversity; species extinction; species richness; temperature",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084444370
[No author name available],[No author id available],"IMMUNOGENOMICS: Immune landscape of the human kidney",2019,"Science","365","6460",,"1415","",,,"10.1126/science.365.6460.1414-f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084439196&doi=10.1126%2fscience.365.6460.1414-f&partnerID=40&md5=0445cf244f624c1dd1019a76f88b9aba",,"",[No abstract available],,"cell population; human; immunocompetent cell; immunogenomics; kidney; kidney disease; Note; priority journal; RNA sequence; single cell analysis",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084439196
[No author name available],[No author id available],"QUANTUM PHYSICS: Protecting the quantum",2019,"Science","365","6460",,"1416","",,,"10.1126/science.365.6460.1415-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084439074&doi=10.1126%2fscience.365.6460.1415-c&partnerID=40&md5=e9c1405b24331055df386b332068391b",,"",[No abstract available],,"Note; photon; physical phenomena; priority journal; quantum physics; travel",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084439074
[No author name available],[No author id available],"QUANTUM SIMULATION: Toward dynamical gauge fields",2019,"Science","365","6460",,"1416","",,,"10.1126/science.365.6460.1415-d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084432264&doi=10.1126%2fscience.365.6460.1415-d&partnerID=40&md5=1737faeebbe14a7c76942dea57391e34",,"",[No abstract available],,"chemical interaction; Note; physical phase; priority journal; scientist; simulation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084432264
[No author name available],[No author id available],"METABOLISM: Sensing diet",2019,"Science","365","6460",,"1416","",,,"10.1126/science.365.6460.1415-f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084420909&doi=10.1126%2fscience.365.6460.1415-f&partnerID=40&md5=88faec660a5e560c672ff5a647a22ffa",,"",[No abstract available],,"uncoupling protein 2; body weight gain; brain metabolism; diet-induced obesity; hypothalamus; immunocompetent cell; innate immunity; lipid diet; microglia; mitochondrion; nonhuman; Note; priority journal; Ucp2 gene",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084420909
"Zahn L.M., Purnell B.A., Ash C.","57201563027;6603532919;7006283833;","The manifestation of the genome",2019,"Science","365","6460",,"1394","1395",,1,"10.1126/science.aaz4392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072728667&doi=10.1126%2fscience.aaz4392&partnerID=40&md5=ef4bbab998e5e3cf6391ff1bf24d7d3a",,"Zahn, L.M.; Purnell, B.A.; Ash, C.",[No abstract available],,"DNA; commensal; epigenetics; gene mutation; genetic trait; genetic variation; genotype; human; human genome; Note; phenotype; priority journal",,"DNA, 9007-49-2",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604264","English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85072728667
"Langin K.","57201994606;","Proposed rule deals blow to grad student unions",2019,"Science","365","6460",,"1365","",,,"10.1126/science.365.6460.1365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072716231&doi=10.1126%2fscience.365.6460.1365&partnerID=40&md5=977b1793b32fd4274a8b2360e1d61e97",,"Langin, K.",[No abstract available],,"employee; graduate student; human; labor strike; law; Note; population research; priority journal; salary; trade union; United States; workman compensation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604252","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072716231
"Cho A.","35200363400;","Google claims quantum computing milestone",2019,"Science","365","6460",,"1364","",,1,"10.1126/science.365.6460.1364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072716075&doi=10.1126%2fscience.365.6460.1364&partnerID=40&md5=c4049a9bc9e2f2277846f4768a49741f",,"Cho, A.",[No abstract available],,"calculation; California; information processing; Note; priority journal; quantum computing; quantum mechanics; quantum supremacy",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604251","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072716075
"Kaiser J.","57217826902;","NIH center struggles to speed new therapies",2019,"Science","365","6460",,"1363","",,,"10.1126/science.365.6460.1363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072714361&doi=10.1126%2fscience.365.6460.1363&partnerID=40&md5=f0ad2848cbd441a1abf77396b62350df",,"Kaiser, J.",[No abstract available],,"drug industry; Food and Drug Administration; health program; human; induced pluripotent stem cell; medical research; metabolic disorder; national health organization; Niemann Pick disease; Note; priority journal; sickle cell anemia; drug development; economics; organization and management; translational research; United States; Drug Development; Humans; National Center for Advancing Translational Sciences (U.S.); Translational Medical Research; United States",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604250","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072714361
"Mervis J.","7102025474;","Privacy concerns could derail Facebook data-sharing plan",2019,"Science","365","6460",,"1360","1361",,2,"10.1126/science.365.6460.1360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072707559&doi=10.1126%2fscience.365.6460.1360&partnerID=40&md5=46fa381e15695ca8c86aa306be088e51",,"Mervis, J.",[No abstract available],,"Brazil; Chile; data base; data sharing; democracy; demography; Facebook; geostatistical analysis; Germany; human; Internet; medical research; New York; Note; political system; priority journal; social media; Taiwan",,,,,"Social Science Research Council, SSRC; City, University of London, City","The timing was not coincidental. “The same Facebook tools that help politicians connect with their constituents … can also be misused to manipulate and deceive,” wrote Elliot Schrage, a senior Facebook executive in Menlo Park, California, in a blog post. He trumpeted the data-sharing initiative as a way “to help provide independent, credible research about the role of social media in elections, as well as democracy more generally.” And Schrage called it “an important new model for partnerships between industry and academia.” The funding arrangement is designed to keep Facebook at arm’s length. “We agreed that we needed outside funding to make this work,” explains Larry Kramer, president of the William and Flora Hewlett Foundation in Menlo Park, who assembled the consortium of donors. “Because if it were funded by Facebook, people would just distrust the results.” The Social Science Research Council (SSRC), a New York City–based nonprofit, manages the project and runs the peer-review process for awarding grants.",,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604248","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072707559
"Ramachandran R.","57191748477;","The education of an educator",2019,"Science","365","6460",,"1490","",,2,"10.1126/science.365.6460.1490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072704184&doi=10.1126%2fscience.365.6460.1490&partnerID=40&md5=d64b6597ecb29ede1c19d3f97c5f869e","University of California, Los Angeles, United States","Ramachandran, R., University of California, Los Angeles, United States",[No abstract available],,"chemical structure; depression; human; medical education; mental health; Note; organic chemistry; panic; priority journal; undergraduate student",,,,,,,,,,,,,,,,,"Ramachandran, R.; University of CaliforniaUnited States; email: SciCareerEditor@aaas.org",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604280","English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85072704184
"Alexander G.P.","15821881000;","Knot your regular crystal of atoms",2019,"Science","365","6460",,"1377","",,2,"10.1126/science.aaz0479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072700482&doi=10.1126%2fscience.aaz0479&partnerID=40&md5=c076790ea5991b609f132104c9869dad","Department of Physics and Centre for Complexity Science, University of Warwick, Coventry, CV4 7AL, United Kingdom","Alexander, G.P., Department of Physics and Centre for Complexity Science, University of Warwick, Coventry, CV4 7AL, United Kingdom",[No abstract available],,"calculation; crystallography; electric field; geometry; light intensity; liquid crystal; mathematical analysis; Note; phase transition; priority journal; static electricity; thickness; molecular model; Models, Molecular",,,,,,,,,,,,,,,,"Kosterlitz, J.M., Thouless, D.J., (1973) J. Phys. C: Solid State Phys., 6, p. 1181; Thouless, D.J., Kohmoto, M., Nightingale, M.P., den Nijs, M., (1982) Phys. Rev. Lett., 49, p. 405; Hasan, M.Z., Kane, C.L., (2010) Rev. Mod. Phys., 82, p. 3045; Tai, J.-S.B., Smalyukh, I.I., (2019) Science, 365, p. 1449; Kelvin, L., (1867) Proc. R. Soc. Edin., 6, p. 94; Skyrme, T.H.R., (1961) Proc. R. Soc. London, 260, p. 127; Moreau, J.J., Hebd, C.R., (1961) Séances Acad. Sci. Paris, 252, p. 2810; Moffatt, H.K., (1969) J. Fluid Mech., 35, p. 117; Dennis, M.R., King, R.P., Jack, B., O’Holleran, K., Padgett, M.J., (2010) Nat. Phys., 6, p. 118; Tkalec, U., Ravnik, M., Čopar, S., Žumer, S., Muševič, I., (2011) Science, 333, p. 62; Kleckner, D., Irvine, W.T.M., (2013) Nat. Phys., 9, p. 253; Poulin, P., Stark, H., Lubensky, T.C., Weitz, D.A., (1997) Science, 275, p. 1770","Alexander, G.P.; Department of Physics and Centre for Complexity Science, United Kingdom; email: g.p.alexander@warwick.ac.uk",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604255","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072700482
"Kupferschmidt K.","37095697200;","Scientists clash over paper on Syrian sarin attack",2019,"Science","365","6460",,"1362","",,4,"10.1126/science.365.6460.1362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072694875&doi=10.1126%2fscience.365.6460.1362&partnerID=40&md5=a0ea342c11fbf5eeabdc81aba8372bec",,"Kupferschmidt, K.",[No abstract available],,"bomb; crime; government; Note; priority journal; Syrian; United States; war; weapon",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31604249","English","Sci.",Note,"Final","",Scopus,2-s2.0-85072694875
"Vignieri S.","6508070245;","Extinction leads to restructuring",2019,"Science","365","6459",,"1260","",,,"10.1126/science.365.6459.1260-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084410282&doi=10.1126%2fscience.365.6459.1260-a&partnerID=40&md5=fc9f90158fb97c51841cc4276e5afe2c",,"Vignieri, S.",[No abstract available],,"community structure; ecosystem restoration; environmental factor; environmental resilience; mammal; nonhuman; Note; Pleistocene; prediction; priority journal; risk assessment; species extinction",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084410282
"Scanlon S.T.","57207946389;","A haven for T cells",2019,"Science","365","6459",,"1261","",,,"10.1126/science.365.6459.1261-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084409650&doi=10.1126%2fscience.365.6459.1261-b&partnerID=40&md5=e27ae7a2d0efa8324e16b503b3300c6a",,"Scanlon, S.T.",[No abstract available],,"adaptive immunity; adipocyte; bone marrow; cell survival; diet restriction; immune response; immunocompetent cell; memory T lymphocyte; nonhuman; Note; priority journal; signal transduction; T lymphocyte",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084409650
"Suleymanov Y.","56891468600;","Experimental oxygen redox energetics",2019,"Science","365","6459",,"1262","",,,"10.1126/science.365.6459.1261-e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084404220&doi=10.1126%2fscience.365.6459.1261-e&partnerID=40&md5=334d7c043f03ff7fc5236ecbc899b1f9",,"Suleymanov, Y.",[No abstract available],,"manganese oxide; oxygen; water; catalyst; electrochemistry; energy transfer; energy yield; model; Note; oxidation reduction reaction; oxygen evolution; priority journal; process optimization; reduction (chemistry); renewable energy",,"manganese oxide, 11129-60-5, 1317-35-7; oxygen, 7782-44-7; water, 7732-18-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084404220
"Rai T.S.","57212483461;","Modeling trade to discover lost cities",2019,"Science","365","6459",,"1262","",,,"10.1126/science.365.6459.1261-f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084395921&doi=10.1126%2fscience.365.6459.1261-f&partnerID=40&md5=0c048b3a00f4ee47f3cad9d691041fc6",,"Rai, T.S.",[No abstract available],,"Bronze Age; cultural anthropology; economic aspect; marketing; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084395921
"Ash C.","7006283833;","The decline of resistance in old age",2019,"Science","365","6459",,"1262B","",,,"10.1126/science.365.6459.1260-o","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084394165&doi=10.1126%2fscience.365.6459.1260-o&partnerID=40&md5=6445796838dd3815ec4bd96e4dcd5f48",,"Ash, C.",[No abstract available],,"aging; Atlantic Ocean; blood sampling; demography; disease burden; disease resistance; helminth; human; immunity; infection; life history; nonhuman; Note; priority journal; sheep breed; Soay sheep; survival; winter",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084394165
"Bryan Ray L.","36129260000;","Worms yield opioid receptor insight",2019,"Science","365","6459",,"1261","",,,"10.1126/science.365.6459.1260-g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084390854&doi=10.1126%2fscience.365.6459.1260-g&partnerID=40&md5=ddb7dc6a58cc38f04e3e4f289b3f7efb",,"Bryan Ray, L.",[No abstract available],,"fentanyl; G protein coupled receptor; morphine; mu opiate receptor; opiate receptor; Caenorhabditis elegans; drug efficacy; drug safety; nonhuman; Note; priority journal; worm",,"fentanyl, 437-38-7; morphine, 52-26-6, 57-27-2",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084390854
"Ash C.","7006283833;","To boldly claim",2019,"Science","365","6459",,"1262","",,,"10.1126/science.365.6459.1261-d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084380784&doi=10.1126%2fscience.365.6459.1261-d&partnerID=40&md5=0391236cafbfa6c4f32fd700aefc1f8b",,"Ash, C.",[No abstract available],,"educational status; emotion; ethnic difference; human; Note; priority journal; psychology; publication; writing",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084380784
"Pujanandez L.","57204826465;","Taking RV144 beyond Thailand",2019,"Science","365","6459",,"1261","",,,"10.1126/science.365.6459.1260-e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084375674&doi=10.1126%2fscience.365.6459.1260-e&partnerID=40&md5=350f6dd139c077c485e3ddd1e2615cfc",,"Pujanandez, L.",[No abstract available],,"erdosteine; antibody response; drug efficacy; drug response; endemic disease; Human immunodeficiency virus infection; Human immunodeficiency virus type 1 subtype C; immune response; immunogenicity; Note; priority journal; South Africa; Thailand",,"erdosteine, 84611-23-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084375674
"Fahrenkamp-Uppenbrink J.","6508286276;","River restoration guided by research",2019,"Science","365","6459",,"1262B","",,,"10.1126/science.365.6459.1260-j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084372725&doi=10.1126%2fscience.365.6459.1260-j&partnerID=40&md5=36bbae857fca6bb6636c517714004f03",,"Fahrenkamp-Uppenbrink, J.",[No abstract available],,"biodiversity; ecosystem restoration; environmental impact; flooding; human activities; hydrology; Note; priority journal; river; water flow; water quality",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084372725
"Purnell B.A.","6603532919;","Reorganization to initiate ovulation",2019,"Science","365","6459",,"1261","",,,"10.1126/science.365.6459.1261-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084368430&doi=10.1126%2fscience.365.6459.1261-a&partnerID=40&md5=5c7645b8821ba613350cf579cc4f94c2",,"Purnell, B.A.",[No abstract available],,"liver receptor homolog 1; luteinizing hormone; orphan nuclear receptor; cell differentiation; cell migration; germ cell; granulosa cell; hypophysis; mammal; nonhuman; Note; nuclear reprogramming; oocyte development; ovulation; primordial follicle; priority journal; reproduction",,"luteinizing hormone, 39341-83-8, 9002-67-9",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084368430
"Foley J.F.","57204828995;","Tumors metabolically paralyze T cells",2019,"Science","365","6459",,"1262B","1262C",,,"10.1126/science.365.6459.1260-q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084368060&doi=10.1126%2fscience.365.6459.1260-q&partnerID=40&md5=bc00de88bda9db77db5cbcd230133513",,"Foley, J.F.",[No abstract available],,"gamma interferon; mitochondrial protein; Smad protein; transforming growth factor beta; CD4+ T lymphocyte; cell interaction; cell metabolism; cytokine production; mitochondrial energy transfer; mitochondrial respiration; Note; priority journal; protein function; protein synthesis inhibition; tumor cell; tumor immunity",,"gamma interferon, 82115-62-6; Smad protein, 62395-38-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084368060
"Stajic J.","57189019027;","Magnetic Weyl semimetals",2019,"Science","365","6459",,"1260","",,1,"10.1126/science.365.6459.1260-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084364021&doi=10.1126%2fscience.365.6459.1260-c&partnerID=40&md5=27e7c951e5ac562840f4b0e9771c1313",,"Stajic, J.",[No abstract available],,"carbon dioxide; fermion; magnetism; Note; particle size; photoelectron spectroscopy; priority journal; scanning tunneling spectroscopy; spectroscopy; surface property",,"carbon dioxide, 124-38-9, 58561-67-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084364021
